Account,Fund,Department,Project,BudgetRef,Amount,Descr,LineRef
5312,R,26850,,,11.41,ITS CADS 06 2016,ITS-CADS
5312,R,29511,,,325.29,ITS CADS 06 2016,ITS-CADS
5312,R,30510,OH,,284.64,ITS CADS 06 2016,ITS-CADS
5312,R,32120,,,19.51,ITS CADS 06 2016,ITS-CADS
5312,R,32820,,,21.89,ITS CADS 06 2016,ITS-CADS
5312,R,33110,,,20.98,ITS CADS 06 2016,ITS-CADS
5312,R,33510,,,68.68,ITS CADS 06 2016,ITS-CADS
5312,R,35350,06,,2.26,ITS CADS 06 2016,ITS-CADS
5312,R,35350,08,,56.13,ITS CADS 06 2016,ITS-CADS
5312,R,35350,11,,30.08,ITS CADS 06 2016,ITS-CADS
5312,R,35510,OP,,113.00,ITS CADS 06 2016,ITS-CADS
5312,R,35535,03,,3.20,ITS CADS 06 2016,ITS-CADS
5312,R,37510,,,15.38,ITS CADS 06 2016,ITS-CADS
5312,R,40401,,,74.19,ITS CADS 06 2016,ITS-CADS
5312,R,41510,OH,,326.78,ITS CADS 06 2016,ITS-CADS
5312,R,42200,OP,,0.19,ITS CADS 06 2016,ITS-CADS
5312,R,42230,OP,,14.28,ITS CADS 06 2016,ITS-CADS
5312,R,42400,05,,0.07,ITS CADS 06 2016,ITS-CADS
5312,R,42510,,,272.31,ITS CADS 06 2016,ITS-CADS
5312,R,42510,IT,,0.36,ITS CADS 06 2016,ITS-CADS
5312,R,42510,OP,,15.74,ITS CADS 06 2016,ITS-CADS
5312,R,42570,01,,1.46,ITS CADS 06 2016,ITS-CADS
5312,R,42650,01,,0.12,ITS CADS 06 2016,ITS-CADS
5312,R,42660,01,,0.84,ITS CADS 06 2016,ITS-CADS
5312,R,42680,01,,2.10,ITS CADS 06 2016,ITS-CADS
5312,R,42680,02,,19.38,ITS CADS 06 2016,ITS-CADS
5312,R,43020,05,,17.65,ITS CADS 06 2016,ITS-CADS
5312,R,43030,,,3.96,ITS CADS 06 2016,ITS-CADS
5312,R,43030,MP,,5.88,ITS CADS 06 2016,ITS-CADS
5312,R,43030,OSG,,0.16,ITS CADS 06 2016,ITS-CADS
5312,R,43040,,,4.94,ITS CADS 06 2016,ITS-CADS
5312,R,43050,,,24.99,ITS CADS 06 2016,ITS-CADS
5312,R,43080,01,,15.13,ITS CADS 06 2016,ITS-CADS
5312,R,43090,01,,5.84,ITS CADS 06 2016,ITS-CADS
5312,R,43090,02,,14.52,ITS CADS 06 2016,ITS-CADS
5312,R,43090,03,,0.26,ITS CADS 06 2016,ITS-CADS
5312,R,43100,,,116.23,ITS CADS 06 2016,ITS-CADS
5312,R,43100,DCL,,0.64,ITS CADS 06 2016,ITS-CADS
5312,R,43200,,,39.39,ITS CADS 06 2016,ITS-CADS
5312,R,43240,,,17.38,ITS CADS 06 2016,ITS-CADS
5312,R,43400,,,25.55,ITS CADS 06 2016,ITS-CADS
5312,R,43510,,,3.63,ITS CADS 06 2016,ITS-CADS
5312,R,43510,NYSF,,15.82,ITS CADS 06 2016,ITS-CADS
5312,R,43511,,,4.97,ITS CADS 06 2016,ITS-CADS
5312,R,43511,DO,,17.57,ITS CADS 06 2016,ITS-CADS
5312,R,43514,,,6.12,ITS CADS 06 2016,ITS-CADS
5312,R,43530,,,7.10,ITS CADS 06 2016,ITS-CADS
5312,R,43550,01,,0.28,ITS CADS 06 2016,ITS-CADS
5312,R,43550,02,,1.03,ITS CADS 06 2016,ITS-CADS
5312,R,43550,03,,6.34,ITS CADS 06 2016,ITS-CADS
5312,R,43551,,,5.86,ITS CADS 06 2016,ITS-CADS
5312,R,43560,,,17.55,ITS CADS 06 2016,ITS-CADS
5312,R,43570,,,2.62,ITS CADS 06 2016,ITS-CADS
5312,R,43611,,,5.00,ITS CADS 06 2016,ITS-CADS
5312,R,44102,,,21.34,ITS CADS 06 2016,ITS-CADS
5312,R,44103,,,1.16,ITS CADS 06 2016,ITS-CADS
5312,R,44202,,,53.09,ITS CADS 06 2016,ITS-CADS
5312,R,44203,,,4.69,ITS CADS 06 2016,ITS-CADS
5312,R,44206,,,24.11,ITS CADS 06 2016,ITS-CADS
5312,R,44209,,,26.58,ITS CADS 06 2016,ITS-CADS
5312,R,44211,ADMN,,25.78,ITS CADS 06 2016,ITS-CADS
5312,R,44220,,,4.28,ITS CADS 06 2016,ITS-CADS
5312,R,44301,,,60.82,ITS CADS 06 2016,ITS-CADS
5312,R,44303,,,16.24,ITS CADS 06 2016,ITS-CADS
5312,R,44510,,,105.09,ITS CADS 06 2016,ITS-CADS
5312,R,44520,,,14.97,ITS CADS 06 2016,ITS-CADS
5312,R,44521,,,48.24,ITS CADS 06 2016,ITS-CADS
5312,R,44530,,,32.50,ITS CADS 06 2016,ITS-CADS
5312,R,44540,,,4.69,ITS CADS 06 2016,ITS-CADS
5312,R,44555,,,2.96,ITS CADS 06 2016,ITS-CADS
5312,R,44556,,,14.19,ITS CADS 06 2016,ITS-CADS
5312,R,45110,,,9.21,ITS CADS 06 2016,ITS-CADS
5312,R,45120,,,190.88,ITS CADS 06 2016,ITS-CADS
5312,R,45210,,,49.54,ITS CADS 06 2016,ITS-CADS
5312,R,45220,,,22.32,ITS CADS 06 2016,ITS-CADS
5312,R,45230,,,27.43,ITS CADS 06 2016,ITS-CADS
5312,R,45240,,,28.52,ITS CADS 06 2016,ITS-CADS
5312,R,45730,,,137.40,ITS CADS 06 2016,ITS-CADS
5312,R,46065,TA,,12.48,ITS CADS 06 2016,ITS-CADS
5312,R,46510,CC,,115.51,ITS CADS 06 2016,ITS-CADS
5312,R,47025,,,18.43,ITS CADS 06 2016,ITS-CADS
5312,R,47030,,,9.64,ITS CADS 06 2016,ITS-CADS
5312,R,47070,,,17.94,ITS CADS 06 2016,ITS-CADS
5312,R,47210,,,65.82,ITS CADS 06 2016,ITS-CADS
5312,R,47530,,,5.32,ITS CADS 06 2016,ITS-CADS
5312,R,47540,01,,47.36,ITS CADS 06 2016,ITS-CADS
5312,R,47540,02,,7.20,ITS CADS 06 2016,ITS-CADS
5312,R,47560,,,0.85,ITS CADS 06 2016,ITS-CADS
5312,R,48510,OH,,47.65,ITS CADS 06 2016,ITS-CADS
5312,R,53200,,,0.52,ITS CADS 06 2016,ITS-CADS
5312,R,53302,01,,0.04,ITS CADS 06 2016,ITS-CADS
5312,R,53330,01,,7.64,ITS CADS 06 2016,ITS-CADS
5312,R,53380,,,0.59,ITS CADS 06 2016,ITS-CADS
5312,R,53401,,,75.46,ITS CADS 06 2016,ITS-CADS
5312,R,53402,,,5.00,ITS CADS 06 2016,ITS-CADS
5312,R,53530,,,488.41,ITS CADS 06 2016,ITS-CADS
5312,R,53600,,,18.80,ITS CADS 06 2016,ITS-CADS
5312,R,54010,,,108.30,ITS CADS 06 2016,ITS-CADS
5312,R,54100,,,2.80,ITS CADS 06 2016,ITS-CADS
5312,R,54102,,,17.37,ITS CADS 06 2016,ITS-CADS
5312,R,54105,,,11.10,ITS CADS 06 2016,ITS-CADS
5312,R,54106,,,5.14,ITS CADS 06 2016,ITS-CADS
5312,R,54300,,,0.04,ITS CADS 06 2016,ITS-CADS
5312,R,54301,,,18.03,ITS CADS 06 2016,ITS-CADS
5312,R,54500,,,71.85,ITS CADS 06 2016,ITS-CADS
5312,R,54501,,,4.24,ITS CADS 06 2016,ITS-CADS
5312,R,56100,11,,21.28,ITS CADS 06 2016,ITS-CADS
5312,R,56510,01,,63.19,ITS CADS 06 2016,ITS-CADS
5312,R,61250,,,135.10,ITS CADS 06 2016,ITS-CADS
5312,R,61250,07,,2.64,ITS CADS 06 2016,ITS-CADS
5312,R,61300,,,47.29,ITS CADS 06 2016,ITS-CADS
5312,R,61301,,,1.47,ITS CADS 06 2016,ITS-CADS
5312,R,61520,,,21.69,ITS CADS 06 2016,ITS-CADS
5312,R,61521,,,17.08,ITS CADS 06 2016,ITS-CADS
5312,R,61522,,,6.02,ITS CADS 06 2016,ITS-CADS
5312,R,61600,,,108.26,ITS CADS 06 2016,ITS-CADS
5312,R,61700,,,68.13,ITS CADS 06 2016,ITS-CADS
5312,R,62010,,,104.85,ITS CADS 06 2016,ITS-CADS
5312,R,62030,,,195.96,ITS CADS 06 2016,ITS-CADS
5312,R,62040,,,58.59,ITS CADS 06 2016,ITS-CADS
5312,R,62510,EX,,2.01,ITS CADS 06 2016,ITS-CADS
5312,R,62510,IT,,1.26,ITS CADS 06 2016,ITS-CADS
5312,R,62510,OH,,180.05,ITS CADS 06 2016,ITS-CADS
5312,R,62960,,,110.37,ITS CADS 06 2016,ITS-CADS
5312,R,63501,,,3.22,ITS CADS 06 2016,ITS-CADS
5312,R,63517,,,625.20,ITS CADS 06 2016,ITS-CADS
5312,R,63710,,,11.04,ITS CADS 06 2016,ITS-CADS
5312,R,63800,,,108.76,ITS CADS 06 2016,ITS-CADS
5312,R,64500,,,0.34,ITS CADS 06 2016,ITS-CADS
5312,R,64510,,,245.30,ITS CADS 06 2016,ITS-CADS
5312,R,86010,,,5.88,ITS CADS 06 2016,ITS-CADS
5312,R,93510,MAIN,,27.41,ITS CADS 06 2016,ITS-CADS
5312,R,97730,,,20.23,ITS CADS 06 2016,ITS-CADS
